,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_num_leaves,state
63,63,0.8457847668810289,2024-08-01 08:48:15.246543,2024-08-01 08:48:15.653707,0 days 00:00:00.407164,0.5674459400457329,6,0.8917473966709658,0.05203847842766389,1.3220814380973371,0.03461204044841564,3,54,127,COMPLETE
64,64,0.8431829926504364,2024-08-01 08:48:15.654362,2024-08-01 08:48:16.163381,0 days 00:00:00.509019,0.5382261368332134,6,0.9302446419134058,0.0006252427694084341,0.5636750689197821,0.07800611937812245,4,46,144,COMPLETE
65,65,0.8431650493798806,2024-08-01 08:48:16.163847,2024-08-01 08:48:16.616573,0 days 00:00:00.452726,0.510393597524284,7,0.7369445350231478,0.016943054900045648,3.8388104650462055e-05,0.019552403416905506,3,64,114,COMPLETE
66,66,0.8476365124023886,2024-08-01 08:48:16.617025,2024-08-01 08:48:17.109126,0 days 00:00:00.492101,0.5328804058233707,7,0.6774951782850149,0.00012141954406101294,0.19318583730223687,0.04725140492509502,4,41,88,COMPLETE
67,67,0.842974850711989,2024-08-01 08:48:17.109654,2024-08-01 08:48:17.653298,0 days 00:00:00.543644,0.4560105145015368,6,0.8250763177790184,9.441296021633658e-05,0.011580514637868515,0.013855925514394728,4,41,79,COMPLETE
68,68,0.8427236449242077,2024-08-01 08:48:17.653791,2024-08-01 08:48:18.436931,0 days 00:00:00.783140,0.5758034858216607,6,0.6699612461351958,0.0001365980038240408,0.1566743244831301,0.010936048592748684,5,37,87,COMPLETE
69,69,0.8448158302710151,2024-08-01 08:48:18.437488,2024-08-01 08:48:19.181547,0 days 00:00:00.744059,0.5491737274196564,4,0.644446969228649,0.001315797043400798,0.044967874263433946,0.028664928864869307,5,112,43,COMPLETE
70,70,0.8448947806614605,2024-08-01 08:48:19.182010,2024-08-01 08:48:19.765891,0 days 00:00:00.583881,0.6222602284645311,5,0.6866806919518252,3.1779098481070096e-05,0.0038786734370710946,0.08426035262893931,4,58,70,COMPLETE
71,71,0.846473788470372,2024-08-01 08:48:19.766385,2024-08-01 08:48:20.125042,0 days 00:00:00.358657,0.5283016330859878,7,0.9610085657953475,0.003517315142120767,0.00012231102495782474,0.04625980779852598,3,51,130,COMPLETE
72,72,0.8464773771244832,2024-08-01 08:48:20.125541,2024-08-01 08:48:20.464705,0 days 00:00:00.339164,0.4951651068086996,7,0.7930754179537495,0.008347192675383384,5.101079091599587,0.05651241818998474,3,34,137,COMPLETE
