,number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,state
25,25,0.8395333314193845,2024-08-01 08:38:59.287924,2024-08-01 08:38:59.461556,0 days 00:00:00.173632,1.093385038030665e-06,0.6193263151246436,9.374817320224713e-07,0.0026810405608762226,0.011710489442981097,10,6,0.8337251012026655,COMPLETE
26,26,0.8416578146531923,2024-08-01 08:38:59.461955,2024-08-01 08:38:59.628000,0 days 00:00:00.166045,6.885201802501255e-08,0.5061853662806695,8.541115235923308e-08,0.18791361802318088,0.04909811303315905,12,9,0.9470750041764822,COMPLETE
27,27,0.8408611334405144,2024-08-01 08:38:59.629382,2024-08-01 08:38:59.797734,0 days 00:00:00.168352,6.185166088815593e-08,0.44389502836930267,5.060999805012006e-06,0.24734238754068977,0.01802862858739378,11,9,0.9477992214819176,COMPLETE
28,28,0.8405560978410657,2024-08-01 08:38:59.798184,2024-08-01 08:38:59.957961,0 days 00:00:00.159777,4.982120029739811e-08,0.5621068350885977,6.0098619486022504e-05,3.377608291248267,0.0015822729313101015,10,9,0.9898272564235551,COMPLETE
29,29,0.8406852893890676,2024-08-01 08:38:59.958417,2024-08-01 08:39:00.126249,0 days 00:00:00.167832,3.097397238044981e-07,0.5110677546844806,0.10092795296749472,1.5327570853144552e-07,0.007164840134144679,9,8,0.7462947589899013,COMPLETE
30,30,0.8337412436839686,2024-08-01 08:39:00.126676,2024-08-01 08:39:00.288185,0 days 00:00:00.161509,1.0630244221069096e-08,0.4345815690938308,1.1382221746554784e-07,2.1334953518794097e-06,0.0651103063939057,8,9,0.5927240071486019,COMPLETE
31,31,0.8425406235645384,2024-08-01 08:39:00.288586,2024-08-01 08:39:00.457259,0 days 00:00:00.168673,7.267789983135061e-08,0.4573752476149232,4.831965941059924e-06,0.19047185147988185,0.018531699311010688,11,9,0.9504015843187458,COMPLETE
32,32,0.8396625229673863,2024-08-01 08:39:00.457691,2024-08-01 08:39:00.628493,0 days 00:00:00.170802,1.1658280310726096e-06,0.4005708180552207,5.379330267051523e-07,0.18067082812509688,0.03376519701009803,12,8,0.9657719947347524,COMPLETE
33,33,0.8413922542489665,2024-08-01 08:39:00.628873,2024-08-01 08:39:00.803072,0 days 00:00:00.174199,1.3061124479226238e-07,0.44621377188033257,7.353714890045573e-08,0.005531513913128093,0.0545707988667294,11,10,0.9176374644964711,COMPLETE
34,34,0.840032154340836,2024-08-01 08:39:00.803493,2024-08-01 08:39:00.957507,0 days 00:00:00.154014,5.367744446615138,0.4644864517022503,6.889046442767617e-08,0.0029843135445753524,0.0671483376250857,11,10,0.9012268400225902,COMPLETE
