,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_layer1,params_dropout_layer2,params_learning_rate,params_units_layer1,params_units_layer2,state
59,59,0.8418838998621957,2024-08-01 09:11:17.028528,2024-08-01 09:11:31.187361,0 days 00:00:14.158833,34,0.3374983294639037,0.44009971537852566,0.00259073087899368,172,396,COMPLETE
60,60,0.8411733463481856,2024-08-01 09:11:31.187705,2024-08-01 09:11:43.257692,0 days 00:00:12.069987,46,0.3213813269953013,0.49784826398509546,0.0019191512835169421,187,441,COMPLETE
61,61,0.8416039848415251,2024-08-01 09:11:43.258041,2024-08-01 09:11:52.049696,0 days 00:00:08.791655,42,0.2898422433058991,0.48512722432098365,0.004454382888587614,140,338,COMPLETE
62,62,0.8365368052365642,2024-08-01 09:11:52.050028,2024-08-01 09:12:00.729823,0 days 00:00:08.679795,36,0.2758541094019975,0.460762486329774,0.003093787393510936,104,371,COMPLETE
63,63,0.8388407211759302,2024-08-01 09:12:00.730160,2024-08-01 09:12:13.144954,0 days 00:00:12.414794,37,0.3065405124307691,0.4854170889729786,0.005497705939269859,122,473,COMPLETE
64,64,0.8416183394579697,2024-08-01 09:12:13.145316,2024-08-01 09:12:29.283429,0 days 00:00:16.138113,48,0.27395198339863563,0.47046963440038386,0.008368764720733474,209,424,COMPLETE
65,65,0.8393574873679376,2024-08-01 09:12:29.283758,2024-08-01 09:12:40.577710,0 days 00:00:11.293952,54,0.36379540447537667,0.449148669776359,0.006629589133039122,165,360,COMPLETE
66,66,0.8393933739090492,2024-08-01 09:12:40.578066,2024-08-01 09:12:52.989310,0 days 00:00:12.411244,43,0.2887255960173419,0.3800069338477791,0.0013629993861907505,85,308,COMPLETE
67,67,0.8410226228755168,2024-08-01 09:12:52.989690,2024-08-01 09:13:04.127722,0 days 00:00:11.138032,60,0.31925674542395766,0.3993920807517151,0.004058370390588149,153,342,COMPLETE
68,68,0.841137459807074,2024-08-01 09:13:04.128061,2024-08-01 09:13:17.321317,0 days 00:00:13.193256,32,0.2967160914288829,0.4310760278089028,0.0023683116323329734,235,389,COMPLETE
69,69,0.8426231626090951,2024-08-01 09:13:17.321735,2024-08-01 09:13:24.992322,0 days 00:00:07.670587,76,0.23106332104717708,0.41222138502554384,0.002996977752483206,73,278,COMPLETE
70,70,0.8426734037666512,2024-08-01 09:13:24.992657,2024-08-01 09:13:36.174715,0 days 00:00:11.182058,82,0.2135094006493295,0.45076487771221924,0.002160214365129166,133,402,COMPLETE
