,number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_l2_leaf_reg,params_learning_rate,params_scale_pos_weight,user_attrs_accuracy,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_roc,state
44,44,0.7968164794007491,2024-08-03 14:54:18.697289,2024-08-03 14:54:21.394161,0 days 00:00:02.696872,0.29505058345746626,104,6,5.771767997893744e-07,0.00022646063698638665,0.24417171733051876,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8348718317972352,COMPLETE
45,45,0.7968164794007491,2024-08-03 14:54:21.394521,2024-08-03 14:54:29.130280,0 days 00:00:07.735759,0.05823867329262772,166,5,3.3555481557621065,0.00013403199215073194,0.6444599538929898,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8284490207373273,COMPLETE
46,46,0.7968164794007491,2024-08-03 14:54:29.130646,2024-08-03 14:54:31.877357,0 days 00:00:02.746711,0.002043485006895593,210,4,0.5910164769658842,0.0002445136492725772,0.16743769130499556,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8281033986175115,COMPLETE
47,47,0.7968164794007491,2024-08-03 14:54:31.877726,2024-08-03 14:54:46.247538,0 days 00:00:14.369812,0.13683294621664407,155,7,1.1147586623901131e-08,0.00010025658709742285,0.35041245841290003,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8327188940092165,COMPLETE
48,48,0.3712276111350885,2024-08-03 14:54:46.247916,2024-08-03 14:54:48.923929,0 days 00:00:02.676013,0.5643610971011183,190,3,0.00647334175064276,0.0025660823023324576,0.4848831583257705,0.783175355450237,0.4471299093655589,0.6915887850467289,0.33035714285714285,0.8313796082949308,COMPLETE
49,49,0.1360460191981931,2024-08-03 14:54:48.924264,2024-08-03 14:54:52.629152,0 days 00:00:03.704888,0.23041744797802657,136,4,0.07597718642156462,0.013611673396552048,0.10637988701768937,0.7571090047393365,0.18972332015810275,0.8275862068965517,0.10714285714285714,0.8354982718894008,COMPLETE
50,50,0.7968164794007491,2024-08-03 14:54:52.629500,2024-08-03 14:54:56.270451,0 days 00:00:03.640951,0.19536737259896064,170,6,9.546779547193582,0.00036117984292235387,0.21365660955377794,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8310051843317974,COMPLETE
51,51,0.7968164794007491,2024-08-03 14:54:56.270779,2024-08-03 14:54:59.002941,0 days 00:00:02.732162,0.08058679947557358,143,5,0.8941865868669325,0.00043462667550928915,0.17588912389324268,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8335181451612904,COMPLETE
52,52,0.7968164794007491,2024-08-03 14:54:59.003278,2024-08-03 14:55:20.903547,0 days 00:00:21.900269,0.0418271646045346,235,7,0.5052539028874782,0.00017036744705536442,0.7316347016488804,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8295146889400922,COMPLETE
53,53,0.6387274484536083,2024-08-03 14:55:20.903870,2024-08-03 14:57:19.953991,0 days 00:01:59.050121,0.11835186788185253,165,8,1.4434883042504887,0.0002992794043964457,0.9596691778454433,0.773696682464455,0.6061855670103093,0.5632183908045977,0.65625,0.8330213133640553,COMPLETE
