,number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_l2_leaf_reg,params_learning_rate,params_scale_pos_weight,state
81,81,0.8458673059255856,2024-08-01 08:44:13.001618,2024-08-01 08:44:16.374592,0 days 00:00:03.372974,0.7989708224564924,212,9,5.465019378071942e-06,0.008748056168818118,0.06335351232433861,COMPLETE
82,82,0.847381717960496,2024-08-01 08:44:16.374956,2024-08-01 08:44:25.066614,0 days 00:00:08.691658,0.8757249257819065,250,10,0.0004501638739959964,0.010748358346231765,0.0974314693542023,COMPLETE
83,83,0.8326287609095085,2024-08-01 08:44:25.067044,2024-08-01 08:44:34.595361,0 days 00:00:09.528317,0.8842996812338595,255,11,0.00048278620537872815,0.031114128488283977,0.21725023739489113,COMPLETE
84,84,0.8441662838768947,2024-08-01 08:44:34.595715,2024-08-01 08:44:40.500238,0 days 00:00:05.904523,0.9214102076798503,248,10,9.727647886592308e-05,0.011307388263511471,0.09794011903106625,COMPLETE
85,85,0.8438504823151125,2024-08-01 08:44:40.500624,2024-08-01 08:44:46.833796,0 days 00:00:06.333172,0.964910223735673,232,10,2.561788971885046e-06,0.015735539409569864,0.12053727549334553,COMPLETE
86,86,0.8356432303628848,2024-08-01 08:44:46.834149,2024-08-01 08:45:04.564266,0 days 00:00:17.730117,0.9986943769980176,240,12,5.633413098651534e-05,0.02002377855962748,0.011380946269176647,COMPLETE
87,87,0.8374555006890216,2024-08-01 08:45:04.564672,2024-08-01 08:45:06.058302,0 days 00:00:01.493630,0.8343200732815816,229,7,7.590646796219947e-06,0.048674245273528524,0.0051271248480945384,COMPLETE
88,88,0.8489822576940744,2024-08-01 08:45:06.058683,2024-08-01 08:45:07.923774,0 days 00:00:01.865091,0.8727019589671334,139,8,0.0009564927366481434,0.008153091711237993,0.15277493191299932,COMPLETE
89,89,0.8438074184657787,2024-08-01 08:45:07.924175,2024-08-01 08:45:10.453232,0 days 00:00:02.529057,0.8735864934774594,50,8,0.0009713559735609928,0.008762527574666326,0.28638096954126463,COMPLETE
90,90,0.8441016881028939,2024-08-01 08:45:10.453650,2024-08-01 08:45:12.754593,0 days 00:00:02.300943,0.942315096204038,86,8,3.183500050924066,0.007059850383601167,0.14506250913002844,COMPLETE
91,91,0.8446758727606798,2024-08-01 08:45:12.754964,2024-08-01 08:45:15.014110,0 days 00:00:02.259146,0.817294626146448,139,7,0.0005252732594177146,0.013392761762315752,0.21149421938652802,COMPLETE
92,92,0.8425729214515388,2024-08-01 08:45:15.014661,2024-08-01 08:45:26.067410,0 days 00:00:11.052749,0.294512948885941,243,11,0.002892684846558401,0.010128603663415848,0.1006462816846221,COMPLETE
93,93,0.8431901699586587,2024-08-01 08:45:26.067786,2024-08-01 08:45:30.424908,0 days 00:00:04.357122,0.9031424033671084,151,10,3.123934444817695e-05,0.011443074133471615,0.04145815107936131,COMPLETE
94,94,0.8452141708773542,2024-08-01 08:45:30.425285,2024-08-01 08:45:32.616205,0 days 00:00:02.190920,0.7774289864674071,138,8,0.00016611457962011054,0.019159823624980567,0.06265741479460436,COMPLETE
95,95,0.8435849219108865,2024-08-01 08:45:32.616595,2024-08-01 08:45:35.108987,0 days 00:00:02.492392,0.45301799310371177,235,7,0.015066309206499177,0.008656460834276401,0.001511433546824574,COMPLETE
96,96,0.8441303973357832,2024-08-01 08:45:35.109403,2024-08-01 08:45:39.369569,0 days 00:00:04.260166,0.8611995542661106,168,9,1.5384643971072746e-05,0.006318706089535913,0.007730150152859602,COMPLETE
97,97,0.8458385966926963,2024-08-01 08:45:39.369936,2024-08-01 08:45:41.750417,0 days 00:00:02.380481,0.7398166309215727,250,8,0.00010386365827625544,0.015294696984171857,0.08923355047504254,COMPLETE
98,98,0.8451711070280203,2024-08-01 08:45:41.750792,2024-08-01 08:45:43.530614,0 days 00:00:01.779822,0.9265071962079652,197,6,0.00026502044443285584,0.012201246043084627,0.11768639079388112,COMPLETE
99,99,0.8457524689940286,2024-08-01 08:45:43.530993,2024-08-01 08:45:57.335579,0 days 00:00:13.804586,0.8204732792701522,226,10,0.001058977300692479,0.002556981185710921,0.049393149024344225,COMPLETE
