,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_layer1,params_dropout_layer2,params_learning_rate,params_units_layer1,params_units_layer2,user_attrs_accuracy,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_roc,state
51,51,0.6200492216117216,2024-08-03 15:16:18.706129,2024-08-03 15:16:29.834693,0 days 00:00:11.128564,124,0.46572270350976436,0.30703753878919615,0.0012514354684688023,301,32,0.7796208530805687,0.6025641025641025,0.5778688524590164,0.6294642857142857,0.8428499423963134,COMPLETE
52,52,0.5892857142857143,2024-08-03 15:16:29.835263,2024-08-03 15:16:40.867953,0 days 00:00:11.032690,117,0.4708697489818043,0.2851630004325818,0.0016012044266411794,346,72,0.7819905213270142,0.5892857142857143,0.5892857142857143,0.5892857142857143,0.8397825460829494,COMPLETE
53,53,0.659900633640553,2024-08-03 15:16:40.868335,2024-08-03 15:16:52.132486,0 days 00:00:11.264151,121,0.4860503048979329,0.23818817567421743,0.0006765527257452726,323,33,0.7748815165876777,0.6169354838709677,0.5625,0.6830357142857143,0.8414674539170507,COMPLETE
54,54,0.6452232142857143,2024-08-03 15:16:52.132837,2024-08-03 15:17:03.751042,0 days 00:00:11.618205,122,0.48232322607167294,0.23468890691349567,0.0006403709165679435,381,32,0.7725118483412322,0.6081632653061224,0.5601503759398496,0.6651785714285714,0.8373487903225806,COMPLETE
55,55,0.6439279375543321,2024-08-03 15:17:03.751423,2024-08-03 15:17:14.720522,0 days 00:00:10.969099,126,0.4998152740870329,0.21907678800293917,0.0010641782734662796,410,50,0.768957345971564,0.6044624746450303,0.5539033457249071,0.6651785714285714,0.840171370967742,COMPLETE
56,56,0.6104464285714286,2024-08-03 15:17:14.720968,2024-08-03 15:17:26.948189,0 days 00:00:12.227221,111,0.4798550325130887,0.2925826431297599,0.0019102632848057989,325,81,0.7819905213270142,0.6,0.5847457627118644,0.6160714285714286,0.8344902073732718,COMPLETE
57,57,0.6560209235209236,2024-08-03 15:17:26.948589,2024-08-03 15:17:37.769928,0 days 00:00:10.821339,120,0.45264500285340575,0.23864303241173757,0.0008604117420836834,355,50,0.773696682464455,0.6141414141414141,0.5608856088560885,0.6785714285714286,0.837399193548387,COMPLETE
58,58,0.599433379120879,2024-08-03 15:17:37.770308,2024-08-03 15:17:50.765273,0 days 00:00:12.994965,34,0.4498703686459845,0.3193471567938137,0.002390575797371691,240,95,0.7808056872037915,0.5934065934065934,0.5844155844155844,0.6026785714285714,0.8351742511520739,COMPLETE
59,59,0.6616160358565737,2024-08-03 15:17:50.765679,2024-08-03 15:18:01.822191,0 days 00:00:11.056512,107,0.4203806262547359,0.3453478086166128,0.000621913643482089,290,66,0.7701421800947867,0.6135458167330677,0.5539568345323741,0.6875,0.8376728110599079,COMPLETE
60,60,0.6370218833880108,2024-08-03 15:18:01.822691,2024-08-03 15:18:14.371773,0 days 00:00:12.549082,96,0.4161187370833863,0.3420212020505527,0.0003146499323653375,280,61,0.7784360189573459,0.6096033402922757,0.5725490196078431,0.6517857142857143,0.8404809907834102,COMPLETE
61,61,0.6590797244094488,2024-08-03 15:18:14.372129,2024-08-03 15:18:25.587897,0 days 00:00:11.215768,115,0.4249598714840351,0.2650127373098129,0.0006329207341888159,293,79,0.7630331753554502,0.6062992125984253,0.5422535211267606,0.6875,0.8369671658986175,COMPLETE
62,62,0.6226467917675544,2024-08-03 15:18:25.588268,2024-08-03 15:18:36.531663,0 days 00:00:10.943395,106,0.4038168553583765,0.3606274377574862,0.0007172345309041126,315,43,0.7772511848341233,0.6016949152542374,0.5725806451612904,0.6339285714285714,0.8418778801843319,COMPLETE
63,63,0.6230939111313315,2024-08-03 15:18:36.532074,2024-08-03 15:18:47.157556,0 days 00:00:10.625482,128,0.38555591065965605,0.2028132649480529,0.0012205354241388896,341,58,0.7784360189573459,0.6029723991507431,0.5748987854251012,0.6339285714285714,0.8366431451612903,COMPLETE
64,64,0.6586024728027484,2024-08-03 15:18:47.157976,2024-08-03 15:18:58.990785,0 days 00:00:11.832809,120,0.4913102825341795,0.32218240865746234,0.0005740904938507076,262,32,0.7713270142180095,0.6132264529058117,0.5563636363636364,0.6830357142857143,0.842273905529954,COMPLETE
65,65,0.6495535714285714,2024-08-03 15:18:58.991175,2024-08-03 15:19:10.122466,0 days 00:00:11.131291,110,0.45958844829585205,0.2541838922215631,0.00041828084874161197,366,102,0.7748815165876777,0.6122448979591836,0.5639097744360902,0.6696428571428571,0.8373991935483872,COMPLETE
66,66,0.6278571428571429,2024-08-03 15:19:10.122853,2024-08-03 15:19:21.392723,0 days 00:00:11.269870,124,0.43649698997073183,0.275856170126853,0.0009770875377536372,328,82,0.7725118483412322,0.6000000000000001,0.5625,0.6428571428571429,0.8407978110599078,COMPLETE
67,67,0.6046720726627585,2024-08-03 15:19:21.393105,2024-08-03 15:19:32.332463,0 days 00:00:10.939358,105,0.35675197774379364,0.3443616456602333,0.0007647743461310852,441,64,0.7760663507109005,0.591792656587473,0.5732217573221757,0.6116071428571429,0.8381336405529954,COMPLETE
