,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_num_leaves,user_attrs_accuracy,user_attrs_f1,user_attrs_recall,user_attrs_roc,state
46,46,0.599433379120879,2024-08-03 10:40:31.356476,2024-08-03 10:40:32.165883,0 days 00:00:00.809407,0.5274521543798125,3,0.5464903757598006,0.008489729293567972,5.816957953941504e-05,0.0673155541076467,3,72,121,0.7808056872037915,0.5934065934065934,0.6026785714285714,0.8387672811059909,COMPLETE
47,47,0.5732303732303732,2024-08-03 10:40:32.166268,2024-08-03 10:40:33.261605,0 days 00:00:01.095337,0.8884237627487388,2,0.6189740675744005,4.97185075422178e-05,0.00015256978489276647,0.01696671373600739,4,60,71,0.7772511848341233,0.5765765765765765,0.5714285714285714,0.8329925115207374,COMPLETE
48,48,0.5874604930467763,2024-08-03 10:40:33.261947,2024-08-03 10:40:34.815065,0 days 00:00:01.553118,0.6808247257729937,4,0.5578220170444774,3.035612852236523e-06,1.5361987753193315e-05,0.03392305563718325,8,94,111,0.7772511848341233,0.584070796460177,0.5892857142857143,0.8379680299539172,COMPLETE
49,49,0.0,2024-08-03 10:40:34.815478,2024-08-03 10:40:36.584190,0 days 00:00:01.768712,0.548363176675198,1,0.48913383197011384,0.13522025898285991,3.5831325289148586e-08,0.0007200619092064651,7,35,80,0.7345971563981043,0.0,0.0,0.8354154665898618,COMPLETE
50,50,0.5945410401002507,2024-08-03 10:40:36.584520,2024-08-03 10:40:37.297243,0 days 00:00:00.712723,0.9946072820970087,3,0.5948496276119998,0.4629062198865563,0.000912479213750334,0.04768880219508266,3,103,38,0.7772511848341233,0.587719298245614,0.5982142857142857,0.8358150921658986,COMPLETE
51,51,0.6109039449112978,2024-08-03 10:40:37.297795,2024-08-03 10:40:38.479163,0 days 00:00:01.181368,0.7587072532126877,3,0.5086973407542144,0.0027226801686063566,8.159561989747087e-08,0.05510193056197212,5,83,141,0.783175355450237,0.6013071895424836,0.6160714285714286,0.834915034562212,COMPLETE
52,52,0.6162584987496093,2024-08-03 10:40:38.479568,2024-08-03 10:40:39.708736,0 days 00:00:01.229168,0.7557984002768087,2,0.5152682001290152,0.0020129863649382684,1.5249573072882502e-07,0.06617210285755264,5,82,144,0.7879146919431279,0.6083150984682714,0.6205357142857143,0.8373343894009218,COMPLETE
53,53,0.6069332891453525,2024-08-03 10:40:39.709128,2024-08-03 10:40:40.668298,0 days 00:00:00.959170,0.8095852069379261,3,0.4518043348133103,0.0008819745140905379,1.8994210497902128e-07,0.08008917544825056,5,78,145,0.7819905213270142,0.5982532751091704,0.6116071428571429,0.8358438940092165,COMPLETE
54,54,0.5914562637969095,2024-08-03 10:40:40.668718,2024-08-03 10:40:41.765080,0 days 00:00:01.096362,0.7568921348997479,4,0.41043863955797333,0.0018222412367698208,1.3112996508730622e-08,0.057001182376180994,6,88,136,0.7784360189573459,0.5871964679911701,0.59375,0.8336117511520738,COMPLETE
55,55,0.5923676552106429,2024-08-03 10:40:41.765549,2024-08-03 10:40:43.050933,0 days 00:00:01.285384,0.7930602242396608,2,0.520788582754577,0.004926376519771119,9.40105305343172e-08,0.02836345606864485,5,83,131,0.7808056872037915,0.5898004434589801,0.59375,0.8347134216589862,COMPLETE
56,56,0.6113634591391142,2024-08-03 10:40:43.051459,2024-08-03 10:40:44.610025,0 days 00:00:01.558566,0.7078476336174799,5,0.5075067171299124,0.027415379601417406,1.1462592444183296e-06,0.03902512551289432,6,69,147,0.7843601895734598,0.6026200873362446,0.6160714285714286,0.8378312211981567,COMPLETE
57,57,0.6073914699906221,2024-08-03 10:40:44.610493,2024-08-03 10:40:46.621826,0 days 00:00:02.011333,0.71001988396118,5,0.6491206748424643,0.020052726362873568,8.618902203619308e-07,0.03955799644193521,6,68,127,0.783175355450237,0.5995623632385121,0.6116071428571429,0.8332157258064516,COMPLETE
58,58,0.0,2024-08-03 10:40:46.622180,2024-08-03 10:40:47.835960,0 days 00:00:01.213780,0.49332835445640066,5,0.4635563759828365,0.08505859737013258,2.7569315214890013e-07,0.00021576140196858217,7,61,147,0.7345971563981043,0.0,0.0,0.8315056163594471,COMPLETE
59,59,0.5817265248796148,2024-08-03 10:40:47.836485,2024-08-03 10:40:48.689698,0 days 00:00:00.853213,0.7433070056489801,5,0.48083439499275205,1.568779229260329,2.6970097474364735e-08,0.023172956093938605,4,71,137,0.7808056872037915,0.5842696629213484,0.5803571428571429,0.8351634504608295,COMPLETE
60,60,0.2839700814536341,2024-08-03 10:40:48.690041,2024-08-03 10:40:50.113574,0 days 00:00:01.423533,0.6333119961871512,5,0.5436911115355473,0.008362211717257852,1.1338024442653958e-06,0.014831177095742188,6,57,117,0.7879146919431279,0.3719298245614035,0.23660714285714285,0.8358798963133641,COMPLETE
61,61,0.6246539691203993,2024-08-03 10:40:50.114097,2024-08-03 10:40:51.048771,0 days 00:00:00.934674,0.7191495412913573,6,0.5155617779608717,0.00041889072653178747,6.632605781261944e-08,0.07978404240824796,5,97,141,0.7914691943127962,0.6157205240174672,0.6294642857142857,0.8320852534562212,COMPLETE
